,0,1
521,Cortez Masto (D-NV),Yea
522,Cotton (R-AR),Nay
523,Cramer (R-ND),Nay
524,Crapo (R-ID),Nay
525,Cruz (R-TX),Nay
526,Daines (R-MT),Nay
527,Duckworth (D-IL),Yea
528,Durbin (D-IL),Yea
529,Enzi (R-WY),Nay
530,Ernst (R-IA),Nay
531,Feinstein (D-CA),Yea
532,Fischer (R-NE),Nay
533,Gardner (R-CO),Nay
534,Gillibrand (D-NY),Yea
535,Graham (R-SC),Nay
536,Grassley (R-IA),Nay
537,Harris (D-CA),Not Voting
538,Hassan (D-NH),Yea
539,Hawley (R-MO),Nay
540,Heinrich (D-NM),Yea
541,Hirono (D-HI),Yea
542,Hoeven (R-ND),Nay
543,Hyde-Smith (R-MS),Nay
544,Inhofe (R-OK),Nay
545,Isakson (R-GA),Not Voting
546,Johnson (R-WI),Nay
547,Jones (D-AL),Yea
548,Kaine (D-VA),Yea
549,Kennedy (R-LA),Nay
550,King (I-ME),Yea
551,Klobuchar (D-MN),Yea
552,Lankford (R-OK),Nay
553,Leahy (D-VT),Yea
554,Lee (R-UT),Nay
555,Manchin (D-WV),Yea
556,Markey (D-MA),Yea
557,McConnell (R-KY),Nay
558,McSally (R-AZ),Nay
559,Menendez (D-NJ),Yea
560,Merkley (D-OR),Yea
561,Moran (R-KS),Nay
562,Murkowski (R-AK),Nay
563,Murphy (D-CT),Yea
564,Murray (D-WA),Yea
565,Paul (R-KY),Yea
566,Perdue (R-GA),Nay
567,Peters (D-MI),Yea
568,Portman (R-OH),Nay
569,Reed (D-RI),Yea
570,Risch (R-ID),Nay
571,Roberts (R-KS),Nay
572,Romney (R-UT),Nay
573,Rosen (D-NV),Yea
574,Rounds (R-SD),Nay
575,Rubio (R-FL),Nay
576,Sanders (I-VT),Not Voting
577,Sasse (R-NE),Nay
578,Schatz (D-HI),Yea
579,Schumer (D-NY),Yea
580,Scott (R-FL),Nay
581,Scott (R-SC),Nay
582,Shaheen (D-NH),Yea
583,Shelby (R-AL),Nay
584,Sinema (D-AZ),Yea
585,Smith (D-MN),Yea
586,Stabenow (D-MI),Yea
587,Sullivan (R-AK),Nay
588,Tester (D-MT),Yea
589,Thune (R-SD),Nay
590,Tillis (R-NC),Nay
591,Toomey (R-PA),Nay
592,Udall (D-NM),Yea
593,Van Hollen (D-MD),Yea
594,Warner (D-VA),Yea
595,Warren (D-MA),Not Voting
