,Senator Name,Decision,Bill
423,Crapo (R-ID),1,4
424,Cruz (R-TX),1,4
425,Daines (R-MT),1,4
426,Donnelly (D-IN),0,4
427,Duckworth (D-IL),0,4
428,Durbin (D-IL),0,4
429,Enzi (R-WY),1,4
430,Ernst (R-IA),1,4
431,Feinstein (D-CA),2,4
432,Fischer (R-NE),1,4
433,Flake (R-AZ),1,4
434,Franken (D-MN),0,4
435,Gardner (R-CO),1,4
436,Gillibrand (D-NY),0,4
437,Graham (R-SC),1,4
438,Grassley (R-IA),1,4
439,Harris (D-CA),0,4
440,Hassan (D-NH),0,4
441,Hatch (R-UT),1,4
442,Heinrich (D-NM),0,4
443,Heitkamp (D-ND),0,4
444,Heller (R-NV),1,4
445,Hirono (D-HI),0,4
446,Hoeven (R-ND),1,4
447,Inhofe (R-OK),1,4
448,Isakson (R-GA),1,4
449,Johnson (R-WI),1,4
450,Kaine (D-VA),0,4
451,Kennedy (R-LA),1,4
452,King (I-ME),0,4
453,Klobuchar (D-MN),0,4
454,Lankford (R-OK),1,4
455,Leahy (D-VT),0,4
456,Lee (R-UT),1,4
457,Manchin (D-WV),0,4
458,Markey (D-MA),0,4
459,McCain (R-AZ),1,4
460,McCaskill (D-MO),0,4
461,McConnell (R-KY),1,4
462,Menendez (D-NJ),0,4
463,Merkley (D-OR),0,4
464,Moran (R-KS),1,4
465,Murkowski (R-AK),1,4
466,Murphy (D-CT),0,4
467,Murray (D-WA),0,4
468,Nelson (D-FL),0,4
469,Paul (R-KY),1,4
470,Perdue (R-GA),1,4
471,Peters (D-MI),0,4
472,Portman (R-OH),1,4
473,Reed (D-RI),0,4
474,Risch (R-ID),1,4
475,Roberts (R-KS),1,4
476,Rounds (R-SD),1,4
477,Rubio (R-FL),1,4
478,Sanders (I-VT),0,4
479,Sasse (R-NE),1,4
480,Schatz (D-HI),0,4
481,Schumer (D-NY),0,4
482,Scott (R-SC),1,4
483,Sessions (R-AL),2,4
484,Shaheen (D-NH),0,4
485,Shelby (R-AL),1,4
486,Stabenow (D-MI),0,4
487,Sullivan (R-AK),1,4
488,Tester (D-MT),0,4
489,Thune (R-SD),1,4
490,Tillis (R-NC),1,4
491,Toomey (R-PA),1,4
492,Udall (D-NM),0,4
493,Van Hollen (D-MD),0,4
494,Warner (D-VA),0,4
495,Warren (D-MA),0,4
496,Whitehouse (D-RI),0,4
497,Wicker (R-MS),1,4
498,Wyden (D-OR),0,4
499,Young (R-IN),1,4
500,Alexander (R-TN),1,5
501,Baldwin (D-WI),0,5
502,Barrasso (R-WY),1,5
503,Bennet (D-CO),1,5
504,Blumenthal (D-CT),0,5
505,Blunt (R-MO),1,5
506,Booker (D-NJ),1,5
507,Boozman (R-AR),0,5
508,Brown (D-OH),0,5
509,Burr (R-NC),1,5
510,Cantwell (D-WA),1,5
511,Capito (R-WV),1,5
512,Cardin (D-MD),0,5
513,Carper (D-DE),1,5
514,Casey (D-PA),1,5
515,Cassidy (R-LA),1,5
516,Cochran (R-MS),1,5
517,Collins (R-ME),0,5
518,Coons (D-DE),1,5
519,Corker (R-TN),1,5
520,Cornyn (R-TX),1,5
521,Cortez Masto (D-NV),0,5
522,Cotton (R-AR),1,5
523,Crapo (R-ID),1,5
524,Cruz (R-TX),0,5
525,Daines (R-MT),1,5
526,Donnelly (D-IN),1,5
527,Duckworth (D-IL),0,5
528,Durbin (D-IL),0,5
529,Enzi (R-WY),1,5
530,Ernst (R-IA),1,5
531,Feinstein (D-CA),2,5
532,Fischer (R-NE),1,5
533,Flake (R-AZ),0,5
534,Franken (D-MN),0,5
535,Gardner (R-CO),1,5
536,Gillibrand (D-NY),0,5
537,Graham (R-SC),1,5
538,Grassley (R-IA),0,5
539,Harris (D-CA),0,5
540,Hassan (D-NH),0,5
541,Hatch (R-UT),1,5
542,Heinrich (D-NM),1,5
543,Heitkamp (D-ND),1,5
544,Heller (R-NV),0,5
545,Hirono (D-HI),0,5
546,Hoeven (R-ND),1,5
547,Inhofe (R-OK),1,5
548,Isakson (R-GA),1,5
549,Johnson (R-WI),1,5
550,Kaine (D-VA),0,5
551,Kennedy (R-LA),0,5
552,King (I-ME),0,5
553,Klobuchar (D-MN),0,5
554,Lankford (R-OK),1,5
555,Leahy (D-VT),0,5
556,Lee (R-UT),0,5
557,Manchin (D-WV),0,5
558,Markey (D-MA),0,5
559,McCain (R-AZ),0,5
560,McCaskill (D-MO),0,5
561,McConnell (R-KY),1,5
562,Menendez (D-NJ),1,5
563,Merkley (D-OR),0,5
564,Moran (R-KS),1,5
565,Murkowski (R-AK),0,5
566,Murphy (D-CT),0,5
567,Murray (D-WA),1,5
568,Nelson (D-FL),0,5
569,Paul (R-KY),0,5
570,Perdue (R-GA),1,5
571,Peters (D-MI),0,5
572,Portman (R-OH),1,5
573,Reed (D-RI),0,5
574,Risch (R-ID),1,5
575,Roberts (R-KS),1,5
576,Rounds (R-SD),1,5
577,Rubio (R-FL),1,5
578,Sanders (I-VT),0,5
579,Sasse (R-NE),1,5
580,Schatz (D-HI),0,5
581,Schumer (D-NY),0,5
582,Scott (R-SC),1,5
583,Sessions (R-AL),2,5
584,Shaheen (D-NH),0,5
585,Shelby (R-AL),1,5
586,Stabenow (D-MI),0,5
587,Sullivan (R-AK),1,5
588,Tester (D-MT),1,5
589,Thune (R-SD),0,5
590,Tillis (R-NC),1,5
591,Toomey (R-PA),1,5
592,Udall (D-NM),0,5
593,Van Hollen (D-MD),0,5
594,Warner (D-VA),1,5
595,Warren (D-MA),0,5
596,Whitehouse (D-RI),0,5
597,Wicker (R-MS),1,5
598,Wyden (D-OR),0,5
599,Young (R-IN),1,5
600,Alexander (R-TN),0,6
601,Baldwin (D-WI),1,6
602,Barrasso (R-WY),0,6
603,Bennet (D-CO),1,6
604,Blumenthal (D-CT),1,6
605,Blunt (R-MO),0,6
606,Booker (D-NJ),1,6
607,Boozman (R-AR),0,6
608,Brown (D-OH),1,6
609,Burr (R-NC),0,6
610,Cantwell (D-WA),1,6
611,Capito (R-WV),0,6
612,Cardin (D-MD),1,6
613,Carper (D-DE),1,6
614,Casey (D-PA),1,6
615,Cassidy (R-LA),0,6
616,Cochran (R-MS),0,6
617,Collins (R-ME),0,6
618,Coons (D-DE),1,6
619,Corker (R-TN),0,6
620,Cornyn (R-TX),0,6
621,Cortez Masto (D-NV),1,6
622,Cotton (R-AR),0,6
623,Crapo (R-ID),0,6
624,Cruz (R-TX),0,6
625,Daines (R-MT),0,6
626,Donnelly (D-IN),1,6
627,Duckworth (D-IL),1,6
